Datum,Uhrzeit,Druck (bar),Heizöl (Liter),IST Rücklauf (°C),IST Vorlauf (°C)
2020-01-01,03:55:00,0.5060,862.2570,7.4210,7.6750
2020-01-01,03:56:00,0.5060,862.1630,7.4120,7.7560
2020-01-01,03:57:00,0.5060,862.3130,7.4090,7.7780
2020-01-01,03:58:00,0.5070,862.1630,7.4210,7.7750
2020-01-01,03:59:00,0.5100,863.3970,7.3870,7.7340
2020-01-01,04:00:00,0.5090,863.3040,7.3900,7.6680
2020-01-01,04:01:00,0.5040,862.1260,7.4160,7.6950
2020-01-01,04:02:00,0.5070,863.5840,7.4120,7.7020
2020-01-01,04:03:00,0.5050,861.5270,7.4020,7.7750
2020-01-01,04:04:00,0.5060,862.3500,7.4240,7.7290
2020-01-01,04:05:00,0.5060,862.3130,7.3850,7.6630
2020-01-01,04:06:00,0.5050,862.3130,7.4120,7.7850
2020-01-01,04:07:00,0.5060,863.5840,7.3770,7.7090
2020-01-01,04:08:00,0.5070,862.2190,7.3920,7.6630
2020-01-01,04:09:00,0.5040,860.8910,7.4040,7.7440
2020-01-01,04:10:00,0.5080,862.2190,7.4020,7.6970
2020-01-01,04:11:00,0.4960,861.1160,7.4190,7.7170
2020-01-01,04:12:00,0.5050,862.2570,7.3750,7.7220
2020-01-01,04:13:00,0.5050,863.5840,7.3870,7.6530
2020-01-01,04:14:00,0.5050,862.2570,7.3800,7.6830
2020-01-01,04:15:00,0.5010,862.4060,7.4120,7.6870
2020-01-01,04:16:00,0.5040,862.2570,7.3820,7.6830
2020-01-01,04:17:00,0.5050,863.5840,7.4260,7.7360
2020-01-01,04:18:00,0.5050,862.1260,7.4140,7.6610
2020-01-01,04:19:00,0.5050,863.5470,7.3750,7.7050
2020-01-01,04:20:00,0.5080,862.1630,7.4090,7.6900
2020-01-01,04:21:00,0.5060,863.3600,7.4240,7.7000
2020-01-01,04:22:00,0.5040,863.4910,7.3800,7.6870
2020-01-01,04:23:00,0.5040,863.5470,7.3580,7.6780
2020-01-01,04:24:00,0.5050,863.4530,7.4160,7.7700
2020-01-01,04:25:00,0.5050,862.3130,7.3820,7.6700
2020-01-01,04:26:00,0.5030,862.2570,7.4090,7.6480
2020-01-01,04:27:00,0.5000,863.4530,7.4040,7.6950
2020-01-01,04:28:00,0.5050,862.1630,7.4160,7.7730
2020-01-01,04:29:00,0.5050,862.1630,7.3900,7.7610
2020-01-01,04:30:00,0.5020,862.3130,7.3920,7.6580
2020-01-01,04:31:00,0.5060,862.2570,7.4070,7.7220
2020-01-01,04:32:00,0.5060,863.5840,7.3950,7.6480
2020-01-01,04:33:00,0.5060,863.6780,7.4040,7.6530
2020-01-01,04:34:00,0.5020,863.4530,7.4140,7.6510
2020-01-01,04:35:00,0.5050,863.3040,7.3870,7.7510
2020-01-01,04:36:00,0.5020,862.2190,7.4160,7.6730
2020-01-01,04:37:00,0.5060,861.9010,7.4120,7.7440
2020-01-01,04:38:00,0.5090,862.1260,7.4140,7.6950
2020-01-01,04:39:00,0.5100,861.1160,7.3800,7.7290
2020-01-01,04:40:00,0.5070,863.3970,7.4160,7.6630
2020-01-01,04:41:00,0.5080,861.9010,7.3970,7.6900
2020-01-01,04:42:00,0.5100,863.5840,7.3990,7.7510
2020-01-01,04:43:00,0.5050,861.8080,7.3950,7.6390
2020-01-01,04:44:00,0.5090,861.1160,7.4020,7.6510
2020-01-01,04:45:00,0.5090,863.6400,7.3730,7.6460
2020-01-01,04:46:00,0.4940,863.5840,7.4090,7.6830
2020-01-01,04:47:00,0.5060,863.4530,7.4070,7.6850
2020-01-01,04:48:00,0.5060,862.0880,7.3800,7.6730
2020-01-01,04:49:00,0.5100,863.6400,7.3800,7.7090
2020-01-01,04:50:00,0.5090,863.3600,7.3970,7.6900
2020-01-01,04:51:00,0.5080,864.7250,7.4140,7.6510
2020-01-01,04:52:00,0.5070,863.3040,7.3680,7.6850
2020-01-01,04:53:00,0.5070,863.4530,7.3870,7.6920
2020-01-01,04:54:00,0.5080,863.5470,7.3700,7.6460
2020-01-01,04:55:00,0.5070,863.5840,7.4070,7.6870
2020-01-01,04:56:00,0.5050,864.7810,7.3770,7.6410
2020-01-01,04:57:00,0.5090,863.6780,7.3820,7.7510
2020-01-01,04:58:00,0.5040,863.5470,7.4070,7.7530
2020-01-01,04:59:00,0.5090,865.0050,7.3600,7.6510
2020-01-01,05:00:00,0.5080,863.4910,7.3800,7.6410
2020-01-01,05:01:00,0.5030,863.5840,7.3700,7.6610
2020-01-01,05:02:00,0.5050,864.7810,7.4070,7.6630
2020-01-01,05:03:00,0.5060,863.8090,7.3650,7.7090
2020-01-01,05:04:00,0.5050,863.5840,7.3950,7.6970
2020-01-01,05:05:00,0.5060,863.2290,7.4070,7.7360
2020-01-01,05:06:00,0.5030,862.4060,7.3850,7.6480
2020-01-01,05:07:00,0.5100,862.0880,7.3600,7.6660
2020-01-01,05:08:00,0.5060,863.4910,7.3700,7.7240
2020-01-01,05:09:00,0.5030,863.4530,7.4140,7.6440
2020-01-01,05:10:00,0.5110,863.6780,7.4040,7.7270
2020-01-01,05:11:00,0.5060,863.6400,7.3970,7.6830
2020-01-01,05:12:00,0.5070,860.9850,7.3530,7.6680
2020-01-01,05:13:00,0.5080,862.3130,7.3700,7.6460
2020-01-01,05:14:00,0.4990,863.5840,7.3970,7.6700
2020-01-01,05:15:00,0.5070,863.6400,7.3580,7.6610
2020-01-01,05:16:00,0.5040,862.2570,7.4020,7.6660
2020-01-01,05:17:00,0.5060,863.4910,7.3600,7.6900
2020-01-01,05:18:00,0.5030,863.4910,7.4040,7.7120
2020-01-01,05:19:00,0.5050,862.8550,7.3950,7.6800
2020-01-01,05:20:00,0.5080,863.3970,7.3770,7.6390
2020-01-01,05:21:00,0.5040,862.1260,7.4020,7.6730
2020-01-01,05:22:00,0.5100,863.5470,7.3870,7.7410
2020-01-01,05:23:00,0.5090,863.4910,7.3580,7.6780
2020-01-01,05:24:00,0.5060,863.3970,7.3800,7.6480
2020-01-01,05:25:00,0.5070,862.1630,7.4070,7.6630
2020-01-01,05:26:00,0.4940,861.8080,7.3990,7.6460
2020-01-01,05:27:00,0.5070,862.6310,7.3510,7.6850
2020-01-01,05:28:00,0.5060,862.0320,7.4040,7.6870
2020-01-01,05:29:00,0.5070,862.6680,7.3950,7.6680
2020-01-01,05:30:00,0.5100,862.2570,7.4040,7.7020
2020-01-01,05:31:00,0.5090,862.1630,7.3970,7.6460
2020-01-01,05:32:00,0.5050,863.5470,7.4090,7.6900
2020-01-01,05:33:00,0.5090,862.0320,7.3820,7.6510
2020-01-01,05:34:00,0.5050,862.2570,7.4120,7.7510
2020-01-01,05:35:00,0.4990,863.2660,7.3650,7.6460
2020-01-01,05:36:00,0.5060,863.4530,7.3920,7.7510
2020-01-01,05:37:00,0.5060,863.3970,7.3900,7.6750
2020-01-01,05:38:00,0.5050,862.3130,7.3990,7.6660
2020-01-01,05:39:00,0.5030,862.2190,7.3920,7.7410
2020-01-01,05:40:00,0.5070,862.0880,7.4090,7.6800
2020-01-01,05:41:00,0.5060,860.9850,7.4070,7.6530
2020-01-01,05:42:00,0.5070,863.1730,7.3650,7.6830
2020-01-01,05:43:00,0.5070,862.2570,7.3990,7.6660
2020-01-01,05:44:00,0.5050,863.3970,7.3990,7.6830
2020-01-01,05:45:00,0.5060,863.5470,7.3970,7.6780
2020-01-01,05:46:00,0.5060,862.2570,7.3950,7.6870
2020-01-01,05:47:00,0.5040,863.3970,7.3770,7.6360
2020-01-01,05:48:00,0.4940,863.4530,7.3750,7.7270
2020-01-01,05:49:00,0.5060,862.1630,7.3870,7.6850
2020-01-01,05:50:00,0.5030,863.4530,7.3600,7.7310
2020-01-01,05:51:00,0.5030,863.5840,7.3680,7.7360
2020-01-01,05:52:00,0.5060,864.8180,7.3600,7.6440
2020-01-01,05:53:00,0.5060,863.4910,7.3820,7.6830
2020-01-01,05:54:00,0.5040,864.6310,7.3730,7.7530
2020-01-01,05:55:00,0.5060,864.0520,7.3850,7.6340
2020-01-01,05:56:00,0.5080,863.3600,7.3820,7.6870
2020-01-01,05:57:00,0.5060,863.4910,7.3920,7.7390
2020-01-01,05:58:00,0.5020,863.3970,7.3820,7.6870
2020-01-01,05:59:00,0.5080,863.5840,7.4070,7.6900
2020-01-01,06:00:00,0.5050,862.1630,7.3630,7.6480
2020-01-01,06:01:00,0.5070,863.2660,7.3700,7.6290
2020-01-01,06:02:00,0.5020,863.3970,7.3750,7.6700
2020-01-01,06:03:00,0.5070,863.6400,7.3550,7.6290
2020-01-01,06:04:00,0.5050,863.4910,7.3800,7.7360
2020-01-01,06:05:00,0.5070,864.0890,7.3850,7.6750
2020-01-01,06:06:00,0.5060,863.6400,7.3850,7.7340
2020-01-01,06:07:00,0.5050,862.9860,7.3770,7.6310
2020-01-01,06:08:00,0.5060,863.5840,7.3530,7.7090
2020-01-01,06:09:00,0.5060,863.5840,7.3970,7.6850
2020-01-01,06:10:00,0.5080,863.4530,7.4040,7.6900
2020-01-01,06:11:00,0.5070,862.0880,7.3510,7.6340
2020-01-01,06:12:00,0.5010,862.0880,7.3820,7.6750
2020-01-01,06:13:00,0.5070,861.9390,7.3900,7.7360
2020-01-01,06:14:00,0.5070,863.3970,7.3850,7.6580
2020-01-01,06:15:00,0.5020,863.5470,7.3430,7.7020
2020-01-01,06:16:00,0.5030,863.2660,7.3950,7.6630
2020-01-01,06:17:00,0.5030,863.6400,7.3770,7.7360
2020-01-01,06:18:00,0.5030,863.7150,7.3530,7.6310
2020-01-01,06:19:00,0.5050,862.1260,7.3750,7.6800
2020-01-01,06:20:00,0.5070,862.2570,7.3430,7.6970
2020-01-01,06:21:00,0.5090,863.3970,7.3900,7.7070
2020-01-01,06:22:00,0.5060,863.3040,7.3330,7.6410
2020-01-01,06:23:00,0.5060,862.0320,7.3750,7.6460
2020-01-01,06:24:00,0.4970,862.1630,7.3730,7.6170
2020-01-01,06:25:00,0.5070,861.4900,7.3550,7.7020
2020-01-01,06:26:00,0.5050,862.1260,7.3820,7.7000
2020-01-01,06:27:00,0.5040,862.8550,7.3920,7.6290
2020-01-01,06:28:00,0.5070,862.2570,7.3750,7.7390
2020-01-01,06:29:00,0.5060,862.1260,7.3850,7.6560
2020-01-01,06:30:00,0.4940,862.1260,7.3600,7.6290
2020-01-01,06:31:00,0.5030,862.2570,7.3410,7.6920
2020-01-01,06:32:00,0.5060,862.7610,7.3870,7.6800
2020-01-01,06:33:00,0.5070,863.6400,7.3650,7.6510
2020-01-01,06:34:00,0.5050,863.5840,7.3700,7.6460
2020-01-01,06:35:00,0.5060,863.3040,7.3700,7.6580
2020-01-01,06:36:00,0.5060,863.5470,7.3730,7.6610
2020-01-01,06:37:00,0.5060,863.4530,7.3700,7.6170
2020-01-01,06:38:00,0.5080,862.2190,7.3480,7.7140
2020-01-01,06:39:00,0.4960,862.1630,7.3580,7.6630
2020-01-01,06:40:00,0.5030,863.4910,7.3460,7.6190
2020-01-01,06:41:00,0.5050,863.4910,7.3260,7.6700
2020-01-01,06:42:00,0.5070,863.5840,7.3700,7.7240
2020-01-01,06:43:00,0.5060,862.7610,7.3550,7.7440
2020-01-01,06:44:00,0.5040,862.1630,7.3550,7.7140
2020-01-01,06:45:00,0.5090,864.1830,7.3550,7.6340
2020-01-01,06:46:00,0.5050,863.5470,7.3550,7.6070
2020-01-01,06:47:00,0.5050,862.8180,7.3650,7.7140
2020-01-01,06:48:00,0.5040,863.6780,7.3410,7.6700
2020-01-01,06:49:00,0.5120,863.5470,7.3430,7.6000
2020-01-01,06:50:00,0.5100,863.6780,7.3330,7.6410
2020-01-01,06:51:00,0.5130,862.4060,7.3380,7.6170
2020-01-01,06:52:00,0.5030,863.5840,7.3850,7.6700
2020-01-01,06:53:00,0.5100,864.3140,7.3580,7.6580
2020-01-01,06:54:00,0.5120,862.2190,7.3630,7.6240
2020-01-01,06:55:00,0.5110,863.5470,7.3700,7.6070
2020-01-01,06:56:00,0.5090,863.4910,7.3750,7.6220
2020-01-01,06:57:00,0.5110,862.1260,7.3630,7.6140
2020-01-01,06:58:00,0.5090,863.4530,7.3750,7.6970
2020-01-01,06:59:00,0.5040,863.4910,7.3510,7.6460
2020-01-01,07:00:00,0.5080,863.5470,7.3600,7.6070
2020-01-01,07:01:00,0.5080,862.2570,7.3750,7.7290
